Scenario,Size,Shape,Algorithm,SampleCount,MeanMilliseconds,MedianMilliseconds,StdDevMilliseconds,MinMilliseconds,MaxMilliseconds,MeanAllocatedBytes,Failures
WarmBaseline,100,DegenerateLeft,RecursiveDfs,15,0.0096333333333333323,0.0083999999999999995,0.0033958144171252285,0.0071000000000000004,0.018200000000000001,16224,0
WarmBaseline,1000,DegenerateLeft,RecursiveDfs,15,0.44762666666666667,0.44500000000000001,0.017360931874630336,0.43090000000000001,0.50800000000000001,909280,0
WarmBaseline,10,DegenerateRight,RecursiveDfs,15,0.00054666666666666676,0.00050000000000000001,0.00014079141387961916,0.00040000000000000002,0.00089999999999999998,40,0
WarmBaseline,100,DegenerateRight,RecursiveDfs,15,0.0080266666666666663,0.0079000000000000008,0.00066579943593314094,0.0064000000000000003,0.0092999999999999992,16224,0
WarmBaseline,1000,DegenerateRight,RecursiveDfs,15,0.44723999999999997,0.443,0.011346000763852141,0.43240000000000001,0.47120000000000001,909280,0
WarmBaseline,10,Random,RecursiveDfs,15,0.00076666666666666669,0.00069999999999999999,0.00019888578520235067,0.00050000000000000001,0.0011000000000000001,40,0
WarmBaseline,100,Random,RecursiveDfs,15,0.0052200000000000007,0.0048999999999999998,0.00073321211119293443,0.0040000000000000001,0.0066,1640,0
WarmBaseline,1000,Random,RecursiveDfs,15,0.053119999999999987,0.052499999999999998,0.0026023579051826571,0.049599999999999998,0.058799999999999998,63848,0
WarmCache,10,Complete,CacheDfs,15,0.00014666666666666666,0.0001,0.00011469767022723503,0,0.00050000000000000001,40,0
WarmCache,100,Complete,CacheDfs,15,0.00012666666666666669,0.0001,6.7986926847903801E-05,0,0.00020000000000000001,40,0
WarmCache,1000,Complete,CacheDfs,15,0.00012666666666666669,0.0001,7.7172246018601499E-05,0,0.00029999999999999997,40,0
WarmCache,10,DegenerateLeft,CacheDfs,15,0.00013333333333333337,0.0001,9.4280904158206339E-05,0,0.00040000000000000002,40,0
WarmCache,100,DegenerateLeft,CacheDfs,15,0.0002333333333333333,0.0001,0.000272437556556034,0,0.001,40,0
WarmCache,1000,DegenerateLeft,CacheDfs,15,0.00021333333333333333,0.00020000000000000001,0.00016275407487644939,0.0001,0.00069999999999999999,40,0
WarmCache,10,DegenerateRight,CacheDfs,15,0.00025333333333333328,0.00020000000000000001,0.00018208667044996882,0,0.00059999999999999995,40,0
WarmCache,100,DegenerateRight,CacheDfs,15,0.00025999999999999998,0.00020000000000000001,0.0002274496281230931,0,0.00080000000000000004,40,0
WarmCache,1000,DegenerateRight,CacheDfs,15,0.00039999999999999986,0.00029999999999999997,0.00031411250638372658,0.00020000000000000001,0.0011999999999999999,40,0
WarmCache,10,Random,CacheDfs,15,0.00039999999999999996,0.00040000000000000002,0.00020976176963403029,0.0001,0.00080000000000000004,40,0
WarmCache,100,Random,CacheDfs,15,0.00041333333333333337,0.00029999999999999997,0.00036307330144506937,0.0001,0.0011999999999999999,40,0
WarmCache,1000,Random,CacheDfs,15,0.00040666666666666661,0.00029999999999999997,0.00031510139461590596,0.0001,0.0011999999999999999,40,0
